Date of Sale,Product ID,Product Name,Quantity Sold,Sale Price,Total Sale Amount,Customer ID,Store Location,Target Gender,Customer Gender
2014-02-14,P0015,Shoe Model 15,8,111.03,888.24,C7316,Houston,Male,Female
2014-02-14,P0004,Shoe Model 4,3,63.92,191.76,C5208,Houston,Unisex,Male
2014-02-15,P0014,Shoe Model 14,6,128.81,772.86,C5234,Houston,Male,Unisex
2014-02-15,P0003,Shoe Model 3,1,92.77,92.77,C1009,Phoenix,Unisex,Female
2014-02-16,P0002,Shoe Model 2,8,167.68,1341.44,C9512,Phoenix,Male,Male
2014-02-16,P0009,Shoe Model 9,8,133.04,1064.32,C4490,New York,Male,Female
2014-02-16,P0012,Shoe Model 12,2,51.13,102.26,C9567,Chicago,Male,Female
2014-02-16,P0012,Shoe Model 12,3,41.3,123.9,C6415,Houston,Male,Unisex
2014-02-17,P0005,Shoe Model 5,3,57.93,173.79,C3898,Chicago,Female,Female
2014-02-18,P0004,Shoe Model 4,9,179.12,1612.08,C3136,Los Angeles,Unisex,Female
2014-02-18,P0019,Shoe Model 19,6,121.76,730.56,C5670,New York,Male,Male
2014-02-19,P0015,Shoe Model 15,7,120.42,842.94,C4687,Chicago,Unisex,Unisex
2014-02-20,P0006,Shoe Model 6,3,136.71,410.13,C9135,Los Angeles,Unisex,Unisex
2014-02-20,P0001,Shoe Model 1,4,156.05,624.2,C1922,Houston,Male,Female
2014-02-21,P0001,Shoe Model 1,5,162.36,811.8,C3336,Houston,Female,Female
2014-02-22,P0005,Shoe Model 5,1,47.5,47.5,C7028,Houston,Male,Unisex
2014-02-22,P0008,Shoe Model 8,5,112.68,563.4,C3371,Houston,Male,Female
2014-02-23,P0019,Shoe Model 19,3,126.14,378.42,C1793,Chicago,Unisex,Male
2014-02-23,P0020,Shoe Model 20,8,129.18,1033.44,C7166,Los Angeles,Female,Unisex
2014-02-23,P0012,Shoe Model 12,8,116.0,928.0,C1984,New York,Unisex,Unisex
2014-02-24,P0012,Shoe Model 12,4,186.19,744.76,C4876,Los Angeles,Male,Unisex
2014-02-24,P0009,Shoe Model 9,6,43.14,258.84,C4368,Chicago,Unisex,Male
2014-02-24,P0014,Shoe Model 14,5,197.42,987.1,C2645,Houston,Female,Unisex
2014-02-24,P0001,Shoe Model 1,6,118.2,709.2,C6031,Phoenix,Unisex,Male
2014-02-25,P0009,Shoe Model 9,4,163.92,655.68,C8970,Houston,Male,Female
2014-02-26,P0006,Shoe Model 6,2,109.17,218.34,C9666,Los Angeles,Unisex,Male
2014-02-26,P0011,Shoe Model 11,3,72.2,216.6,C2990,Houston,Female,Male
2014-02-26,P0001,Shoe Model 1,1,162.68,162.68,C5757,Los Angeles,Female,Male
2014-02-27,P0007,Shoe Model 7,1,193.38,193.38,C1688,Houston,Female,Female
2014-02-28,P0008,Shoe Model 8,1,80.93,80.93,C2759,Phoenix,Female,Unisex
2014-02-28,P0019,Shoe Model 19,8,182.67,1461.36,C3079,Phoenix,Male,Male
2014-02-28,P0016,Shoe Model 16,8,129.87,1038.96,C1768,Chicago,Unisex,Female
2014-02-28,P0002,Shoe Model 2,6,104.93,629.58,C6797,Chicago,Unisex,Male
2014-03-01,P0007,Shoe Model 7,3,93.46,280.38,C2481,Chicago,Female,Female
2014-03-01,P0001,Shoe Model 1,7,196.42,1374.94,C4462,Phoenix,Male,Male
2014-03-01,P0003,Shoe Model 3,8,63.34,506.72,C9519,New York,Unisex,Male
2014-03-01,P0003,Shoe Model 3,3,140.97,422.91,C4054,Los Angeles,Unisex,Female
2014-03-02,P0014,Shoe Model 14,4,190.55,762.2,C7612,Los Angeles,Unisex,Female
2014-03-02,P0007,Shoe Model 7,1,65.34,65.34,C5242,Phoenix,Unisex,Male
2014-03-02,P0018,Shoe Model 18,2,184.81,369.62,C7852,Houston,Unisex,Female
2014-03-02,P0002,Shoe Model 2,3,130.35,391.05,C5491,Houston,Male,Male
2014-03-03,P0009,Shoe Model 9,2,176.38,352.76,C6986,Houston,Female,Female
2014-03-03,P0012,Shoe Model 12,8,49.42,395.36,C3679,Chicago,Female,Unisex
2014-03-04,P0017,Shoe Model 17,2,33.82,67.64,C3573,New York,Female,Male
2014-03-04,P0007,Shoe Model 7,9,53.69,483.21,C3541,Houston,Female,Female
2014-03-04,P0013,Shoe Model 13,2,76.29,152.58,C1074,Los Angeles,Male,Female
2014-03-04,P0004,Shoe Model 4,9,76.59,689.31,C8184,Phoenix,Male,Female
2014-03-05,P0012,Shoe Model 12,7,48.12,336.84,C1341,Phoenix,Unisex,Male
2014-03-05,P0006,Shoe Model 6,8,72.62,580.96,C7136,Phoenix,Unisex,Female
2014-03-06,P0017,Shoe Model 17,5,95.13,475.65,C3681,Los Angeles,Female,Unisex
2014-03-07,P0019,Shoe Model 19,5,132.54,662.7,C5124,Phoenix,Unisex,Unisex
2014-03-08,P0004,Shoe Model 4,1,152.66,152.66,C2333,Los Angeles,Unisex,Unisex
2014-03-08,P0005,Shoe Model 5,8,66.54,532.32,C8715,Houston,Unisex,Unisex
2014-03-08,P0020,Shoe Model 20,1,114.38,114.38,C7122,Los Angeles,Male,Female
2014-03-08,P0002,Shoe Model 2,5,88.55,442.75,C3343,New York,Male,Male
2014-03-09,P0011,Shoe Model 11,8,103.92,831.36,C8970,Chicago,Female,Male
2014-03-10,P0012,Shoe Model 12,3,76.26,228.78,C8009,Houston,Unisex,Male
2014-03-10,P0012,Shoe Model 12,1,53.26,53.26,C1329,New York,Unisex,Male
2014-03-10,P0015,Shoe Model 15,8,158.93,1271.44,C3708,New York,Unisex,Male
2014-03-10,P0016,Shoe Model 16,6,196.7,1180.2,C7609,New York,Unisex,Unisex
2014-03-11,P0009,Shoe Model 9,7,199.89,1399.23,C6913,Phoenix,Female,Female
2014-03-11,P0007,Shoe Model 7,5,154.27,771.35,C9007,Los Angeles,Unisex,Unisex
2014-03-12,P0018,Shoe Model 18,4,173.57,694.28,C5497,Chicago,Female,Unisex
2014-03-13,P0014,Shoe Model 14,8,69.1,552.8,C8980,Los Angeles,Unisex,Male
2014-03-14,P0008,Shoe Model 8,7,98.76,691.32,C9230,New York,Male,Female
2014-03-14,P0013,Shoe Model 13,2,118.43,236.86,C9684,Los Angeles,Female,Female
2014-03-14,P0003,Shoe Model 3,2,33.62,67.24,C4810,Chicago,Unisex,Female
2014-03-15,P0017,Shoe Model 17,5,111.56,557.8,C1271,Houston,Unisex,Male
2014-03-15,P0010,Shoe Model 10,9,87.18,784.62,C5435,Phoenix,Male,Female
2014-03-15,P0017,Shoe Model 17,3,109.44,328.32,C9567,Los Angeles,Female,Female
2014-03-15,P0005,Shoe Model 5,9,77.14,694.26,C9173,New York,Unisex,Male
2014-03-16,P0004,Shoe Model 4,5,163.68,818.4,C5805,Chicago,Female,Male
2014-03-17,P0007,Shoe Model 7,4,41.05,164.2,C8827,Phoenix,Unisex,Female
2014-03-17,P0019,Shoe Model 19,2,95.3,190.6,C1936,New York,Female,Unisex
2014-03-18,P0006,Shoe Model 6,5,39.83,199.15,C8214,New York,Male,Unisex
2014-03-18,P0020,Shoe Model 20,1,59.56,59.56,C8657,Chicago,Female,Female
2014-03-18,P0017,Shoe Model 17,8,182.56,1460.48,C8906,Phoenix,Male,Unisex
2014-03-18,P0009,Shoe Model 9,4,128.61,514.44,C2290,New York,Unisex,Unisex
2014-03-19,P0009,Shoe Model 9,3,192.46,577.38,C1954,Los Angeles,Unisex,Female
2014-03-19,P0008,Shoe Model 8,5,38.29,191.45,C9228,Houston,Male,Male
2014-03-19,P0013,Shoe Model 13,1,40.46,40.46,C1317,Phoenix,Unisex,Female
2014-03-19,P0003,Shoe Model 3,8,142.56,1140.48,C7183,Chicago,Male,Male
2014-03-20,P0006,Shoe Model 6,8,165.56,1324.48,C4239,Houston,Male,Unisex
2014-03-21,P0016,Shoe Model 16,9,86.78,781.02,C3604,New York,Male,Female
2014-03-21,P0004,Shoe Model 4,6,62.17,373.02,C1556,Los Angeles,Male,Unisex
2014-03-21,P0010,Shoe Model 10,5,156.4,782.0,C4998,Los Angeles,Female,Female
2014-03-22,P0012,Shoe Model 12,7,62.83,439.81,C2136,New York,Male,Unisex
2014-03-23,P0013,Shoe Model 13,3,51.84,155.52,C6352,Los Angeles,Unisex,Unisex
2014-03-23,P0005,Shoe Model 5,6,189.33,1135.98,C2887,Houston,Female,Unisex
2014-03-24,P0017,Shoe Model 17,6,150.46,902.76,C3752,Los Angeles,Unisex,Female
2014-03-24,P0018,Shoe Model 18,4,140.09,560.36,C6043,Phoenix,Unisex,Male
2014-03-24,P0011,Shoe Model 11,1,85.01,85.01,C4356,Houston,Male,Unisex
2014-03-24,P0013,Shoe Model 13,9,57.82,520.38,C3844,Phoenix,Unisex,Female
2014-03-25,P0014,Shoe Model 14,4,141.27,565.08,C6658,Chicago,Male,Female
2014-03-25,P0012,Shoe Model 12,8,103.5,828.0,C5116,Phoenix,Unisex,Female
2014-03-25,P0019,Shoe Model 19,9,105.19,946.71,C6626,New York,Female,Female
2014-03-26,P0002,Shoe Model 2,3,35.29,105.87,C9984,Houston,Female,Unisex
2014-03-26,P0012,Shoe Model 12,8,57.07,456.56,C1984,New York,Male,Male
2014-03-26,P0008,Shoe Model 8,2,159.37,318.74,C1959,Houston,Male,Female
2014-03-27,P0020,Shoe Model 20,9,30.21,271.89,C2875,Houston,Male,Female
2014-03-27,P0016,Shoe Model 16,9,57.34,516.06,C6109,Phoenix,Male,Female
2014-03-27,P0008,Shoe Model 8,1,31.98,31.98,C9465,Los Angeles,Female,Unisex
2014-03-28,P0006,Shoe Model 6,9,176.22,1585.98,C5197,New York,Unisex,Female
2014-03-28,P0019,Shoe Model 19,8,54.81,438.48,C7731,New York,Female,Unisex
2014-03-28,P0016,Shoe Model 16,6,135.09,810.54,C3720,Los Angeles,Female,Male
2014-03-29,P0001,Shoe Model 1,1,180.03,180.03,C2949,New York,Male,Female
2014-03-29,P0007,Shoe Model 7,2,196.17,392.34,C1089,Los Angeles,Female,Unisex
2014-03-30,P0010,Shoe Model 10,7,143.97,1007.79,C2895,Chicago,Male,Unisex
2014-03-30,P0006,Shoe Model 6,9,189.16,1702.44,C1552,Los Angeles,Female,Female
2014-03-31,P0015,Shoe Model 15,7,142.34,996.38,C1207,Houston,Female,Female
2014-03-31,P0003,Shoe Model 3,9,57.88,520.92,C5109,Chicago,Female,Female
2014-03-31,P0012,Shoe Model 12,7,140.55,983.85,C2560,Phoenix,Unisex,Female
2014-03-31,P0019,Shoe Model 19,7,109.93,769.51,C5780,Phoenix,Unisex,Male
2014-04-01,P0019,Shoe Model 19,2,33.55,67.1,C1661,Phoenix,Male,Unisex
2014-04-01,P0003,Shoe Model 3,3,145.64,436.92,C7236,New York,Unisex,Male
2014-04-01,P0020,Shoe Model 20,5,88.81,444.05,C4453,Houston,Female,Male
2014-04-02,P0009,Shoe Model 9,4,35.0,140.0,C6631,Houston,Female,Unisex
2014-04-02,P0002,Shoe Model 2,4,101.69,406.76,C2394,Los Angeles,Female,Male
2014-04-02,P0012,Shoe Model 12,3,135.9,407.7,C3958,New York,Unisex,Female
2014-04-03,P0004,Shoe Model 4,7,137.53,962.71,C1525,Los Angeles,Unisex,Male
2014-04-03,P0005,Shoe Model 5,6,113.69,682.14,C3365,Houston,Male,Unisex
2014-04-03,P0014,Shoe Model 14,8,128.5,1028.0,C4155,Los Angeles,Unisex,Female
2014-04-03,P0017,Shoe Model 17,9,194.8,1753.2,C3113,Chicago,Male,Male
2014-04-04,P0001,Shoe Model 1,8,131.78,1054.24,C8062,Chicago,Female,Unisex
2014-04-04,P0014,Shoe Model 14,9,103.25,929.25,C6895,Chicago,Male,Male
2014-04-04,P0020,Shoe Model 20,9,132.94,1196.46,C3734,Phoenix,Male,Male
2014-04-05,P0012,Shoe Model 12,8,129.51,1036.08,C2742,Houston,Unisex,Male
2014-04-06,P0018,Shoe Model 18,2,50.91,101.82,C1281,Phoenix,Male,Unisex
2014-04-06,P0003,Shoe Model 3,6,60.6,363.6,C6178,Phoenix,Male,Male
2014-04-06,P0019,Shoe Model 19,4,197.73,790.92,C2239,Chicago,Unisex,Female
2014-04-06,P0002,Shoe Model 2,9,138.65,1247.85,C6342,Chicago,Female,Unisex
2014-04-07,P0006,Shoe Model 6,4,51.38,205.52,C6757,Phoenix,Female,Female
2014-04-07,P0008,Shoe Model 8,2,62.02,124.04,C7812,Phoenix,Unisex,Female
2014-04-07,P0015,Shoe Model 15,2,142.48,284.96,C6238,Los Angeles,Unisex,Female
2014-04-07,P0018,Shoe Model 18,2,135.03,270.06,C4719,New York,Unisex,Male
2014-04-08,P0004,Shoe Model 4,1,132.1,132.1,C4124,Phoenix,Male,Female
2014-04-08,P0002,Shoe Model 2,2,132.84,265.68,C1574,New York,Male,Male
2014-04-09,P0016,Shoe Model 16,9,45.38,408.42,C4230,New York,Unisex,Female
2014-04-10,P0006,Shoe Model 6,4,143.49,573.96,C4553,Los Angeles,Male,Male
2014-04-11,P0019,Shoe Model 19,1,50.44,50.44,C1454,New York,Male,Unisex
2014-04-11,P0001,Shoe Model 1,7,125.78,880.46,C3875,Phoenix,Male,Male
2014-04-11,P0017,Shoe Model 17,1,105.55,105.55,C8010,Los Angeles,Female,Female
2014-04-12,P0003,Shoe Model 3,5,176.77,883.85,C3863,Los Angeles,Female,Male
2014-04-13,P0012,Shoe Model 12,5,97.8,489.0,C9234,Los Angeles,Unisex,Unisex
2014-04-14,P0011,Shoe Model 11,7,182.44,1277.08,C6243,New York,Unisex,Unisex
2014-04-15,P0004,Shoe Model 4,5,111.46,557.3,C5882,Los Angeles,Female,Male
2014-04-15,P0004,Shoe Model 4,5,78.43,392.15,C4610,Phoenix,Unisex,Unisex
2014-04-15,P0008,Shoe Model 8,4,152.0,608.0,C7787,Los Angeles,Male,Female
2014-04-16,P0007,Shoe Model 7,7,119.28,834.96,C4654,New York,Female,Male
2014-04-16,P0010,Shoe Model 10,8,193.7,1549.6,C2798,New York,Male,Female
2014-04-16,P0015,Shoe Model 15,7,138.46,969.22,C2300,Houston,Male,Female
2014-04-17,P0015,Shoe Model 15,8,99.87,798.96,C7295,New York,Female,Unisex
2014-04-18,P0004,Shoe Model 4,2,154.43,308.86,C4683,Houston,Unisex,Female
2014-04-19,P0018,Shoe Model 18,3,136.06,408.18,C4040,Los Angeles,Male,Unisex
2014-04-20,P0003,Shoe Model 3,2,110.39,220.78,C9853,Phoenix,Unisex,Unisex
2014-04-21,P0007,Shoe Model 7,9,96.45,868.05,C7652,New York,Female,Male
2014-04-21,P0002,Shoe Model 2,3,131.5,394.5,C7780,New York,Male,Unisex
2014-04-21,P0007,Shoe Model 7,8,51.83,414.64,C6699,Los Angeles,Female,Female
2014-04-21,P0007,Shoe Model 7,4,44.56,178.24,C8843,Chicago,Male,Male
2014-04-22,P0006,Shoe Model 6,9,134.92,1214.28,C2804,New York,Female,Male
2014-04-22,P0012,Shoe Model 12,5,76.1,380.5,C2735,Los Angeles,Unisex,Female
2014-04-22,P0012,Shoe Model 12,3,62.36,187.08,C6249,Houston,Female,Female
2014-04-23,P0003,Shoe Model 3,2,105.88,211.76,C5211,Houston,Female,Male
2014-04-24,P0015,Shoe Model 15,9,58.98,530.82,C3665,New York,Unisex,Male
2014-04-25,P0012,Shoe Model 12,8,165.23,1321.84,C2679,Phoenix,Unisex,Unisex
2014-04-25,P0008,Shoe Model 8,6,198.72,1192.32,C9555,New York,Male,Female
2014-04-25,P0020,Shoe Model 20,6,73.7,442.2,C5895,New York,Male,Female
2014-04-25,P0020,Shoe Model 20,2,40.73,81.46,C5576,Los Angeles,Male,Female
2014-04-26,P0002,Shoe Model 2,9,124.15,1117.35,C6962,Chicago,Female,Unisex
2014-04-27,P0004,Shoe Model 4,2,117.67,235.34,C2442,Chicago,Unisex,Female
2014-04-27,P0005,Shoe Model 5,4,65.45,261.8,C1560,Los Angeles,Female,Female
2014-04-28,P0003,Shoe Model 3,8,120.52,964.16,C8629,Chicago,Unisex,Female
2014-04-29,P0015,Shoe Model 15,5,33.89,169.45,C8002,Los Angeles,Unisex,Female
2014-04-30,P0020,Shoe Model 20,2,138.97,277.94,C6656,Los Angeles,Male,Male
2014-04-30,P0001,Shoe Model 1,4,133.08,532.32,C5917,Phoenix,Unisex,Unisex
2014-05-01,P0006,Shoe Model 6,9,143.27,1289.43,C3529,Phoenix,Female,Male
2014-05-02,P0004,Shoe Model 4,4,104.72,418.88,C6947,Phoenix,Unisex,Female
2014-05-02,P0002,Shoe Model 2,7,55.84,390.88,C8154,Phoenix,Unisex,Female
2014-05-02,P0010,Shoe Model 10,9,39.89,359.01,C4850,Los Angeles,Male,Unisex
2014-05-03,P0015,Shoe Model 15,9,103.16,928.44,C6448,Houston,Female,Female
2014-05-03,P0019,Shoe Model 19,7,147.67,1033.69,C7907,New York,Unisex,Male
2014-05-03,P0005,Shoe Model 5,7,67.54,472.78,C4292,Houston,Female,Unisex
2014-05-03,P0018,Shoe Model 18,5,180.72,903.6,C6693,Phoenix,Unisex,Unisex
2014-05-04,P0014,Shoe Model 14,7,154.71,1082.97,C4716,Los Angeles,Female,Unisex
2014-05-04,P0006,Shoe Model 6,5,159.25,796.25,C8993,Phoenix,Male,Male
